,all_reviews,release_date,developer,game_details,languages,achievements,genre,mature_content,original_price
103,93,"Aug 24, 2015",Giant Army,"Single-player,Partial Controller Support","['English', 'French', 'Italian', 'German', 'Spanish - Spain', 'Czech', 'Danish', 'Dutch', 'Finnish', 'Hungarian', 'Japanese', 'Korean', 'Norwegian', 'Polish', 'Portuguese', 'Russian', 'Swedish', 'Thai', 'Turkish', 'Simplified Chinese', 'Traditional Chinese', 'Portuguese - Brazil']",,"Casual,Indie,Simulation,Early Access",,24.99
104,73,"Oct 27, 2016","Cygames, Inc","Single-player,Multi-player,Online Multi-Player,Cross-Platform Multiplayer,In-App Purchases","['English', 'Japanese', 'Traditional Chinese', 'French', 'Italian', 'German', 'Korean', 'Spanish - Spain', 'Simplified Chinese']",,"Free to Play,Strategy",,0 To Play
107,77,"Sep 12, 2014",Lionhead Studios,"Single-player,Steam Achievements,Full controller support,Steam Trading Cards,Steam Workshop,Steam Cloud","['English', 'French', 'Italian', 'German', 'Spanish - Spain', 'Japanese', 'Korean', 'Portuguese - Brazil', 'Russian', 'Traditional Chinese']",50.0,RPG,,34.99
108,85,"Nov 15, 2013",Beamdog,"Single-player,Multi-player,Co-op,Cross-Platform Multiplayer,Steam Achievements,Steam Trading Cards,Captions available,Steam Cloud","['English', 'German', 'Spanish - Spain', 'Italian', 'Korean', 'Polish', 'Simplified Chinese', 'Russian']",93.0,"RPG,Strategy",,151.89
109,72,"Apr 1, 2015",Joycity,"Online Multi-Player,MMO,Online Co-op,Steam Trading Cards,Partial Controller Support","['English', 'German', 'French', 'Thai', 'Japanese']",,"Action,Casual,Free to Play,Massively Multiplayer,Sports",,0 to Play
110,88,"Jan 29, 2019","Claudiu Kiss,The Irregular Corporation","Single-player,Steam Achievements,Steam Trading Cards,Partial Controller Support,Steam Cloud","['English', 'French', 'German', 'Japanese', 'Portuguese - Brazil', 'Russian', 'Simplified Chinese', 'Spanish - Spain', 'Korean']",53.0,"Indie,Simulation",,19.99
111,86,"Mar 24, 2017",Overhype Studios,"Single-player,Steam Achievements,Steam Trading Cards,Steam Cloud",['English'],89.0,"Indie,RPG,Strategy",,29.99
112,74,"May 15, 2017",Deck13,"Single-player,Steam Achievements,Full controller support,Steam Trading Cards,Steam Cloud","['English', 'French', 'Italian', 'German', 'Spanish - Spain', 'Polish', 'Portuguese - Brazil', 'Russian', 'Korean', 'Simplified Chinese', 'Japanese']",67.0,"Action,RPG",,29.99
113,55,"May 2, 2018","CREATIVE ASSEMBLY,Feral Interactive (Mac),Feral Interactive (Linux","Single-player,Multi-player,Steam Achievements","['English', 'French', 'Italian', 'German', 'Spanish - Spain', 'Czech', 'Korean', 'Polish', 'Portuguese - Brazil', 'Russian', 'Simplified Chinese', 'Traditional Chinese', 'Turkish']",137.0,"Action,Strategy",,39.99
115,89,"Nov 29, 2018",Texel Raptor,"Single-player,Steam Achievements,Steam Trading Cards,Steam Workshop,Steam Cloud,Stats,Includes level editor","['English', 'German', 'Dutch', 'French', 'Russian', 'Simplified Chinese', 'Korean']",32.0,"Indie,Simulation",,29.99
116,82,"May 28, 2019",Isolated Games,"Single-player,Steam Achievements","['English', 'Spanish - Spain']",49.0,"Action,Adventure,Indie,RPG,Simulation,Strategy,Early Access",,19.99
117,89,"Mar 11, 2015",kChamp Games,"Single-player,Multi-player,Online Multi-Player,Local Multi-Player,Steam Achievements,Steam Trading Cards,Partial Controller Support,Stats","['English', 'French', 'Italian', 'German', 'Spanish - Spain', 'Polish', 'Portuguese - Brazil', 'Russian', 'Simplified Chinese', 'Turkish', 'Ukrainian']",58.0,"Action,Casual,Indie,Massively Multiplayer,Strategy,Early Access",,6.99
118,82,"Sep 18, 2014",AMPLITUDE Studios,"Single-player,Multi-player,Online Multi-Player,Cross-Platform Multiplayer,Steam Achievements,Steam Trading Cards,Steam Workshop,Partial Controller Support,Steam Cloud","['English', 'French', 'German', 'Polish', 'Russian', 'Italian', 'Spanish - Spain']",139.0,"RPG,Strategy",,29.99
120,95,"Jun 9, 2019",doinksoft,"Single-player,Partial Controller Support",['English'],15.0,"Action,Adventure,Casual,Indie,Sports", Mature Content Description  The developers describe the content like this:  Devolver Bootleg contains stylizes blood and gore.  ,4.99
121,64,"Feb 25, 2019",Codemasters,"Single-player,Multi-player,Online Multi-Player,Steam Achievements,Full controller support,Steam Cloud","['English', 'French', 'Italian', 'German', 'Spanish - Spain', 'Polish', 'Portuguese - Brazil', 'Japanese']",54.0,"Racing,Simulation,Sports",,59.99
122,84,"Mar 14, 2018","KOEI TECMO GAMES CO., LTD","Single-player,Online Multi-Player,Online Co-op,Steam Achievements,Partial Controller Support,Steam Cloud","['English', 'Japanese', 'Korean', 'Traditional Chinese', 'French', 'Italian', 'German', 'Spanish - Spain', 'Spanish - Latin America']",40.0,Action,,59.99
123,69,"Jul 1, 2014",MY.GAMES,"Multi-player,Online Multi-Player,MMO,Co-op,Online Co-op,Steam Achievements,Steam Trading Cards,In-App Purchases","['English', 'French', 'German', 'Polish', 'Spanish - Spain', 'Simplified Chinese', 'Portuguese - Brazil', 'Korean', 'Russian']",30.0,"Action,Free to Play,Massively Multiplayer",,0 to Play
124,83,"Oct 26, 2017",Ubisoft Montreal,"Single-player,Steam Achievements,Steam Trading Cards,Captions available,In-App Purchases,Partial Controller Support","['English', 'French', 'Italian', 'German', 'Spanish - Spain', 'Arabic', 'Czech', 'Dutch', 'Japanese', 'Korean', 'Polish', 'Portuguese - Brazil', 'Russian', 'Simplified Chinese', 'Traditional Chinese']",67.0,"Action,Adventure,RPG",,59.99
125,84,"Jun 30, 2017","Eek! Games, LLC","Single-player,Steam Achievements,Steam Trading Cards,Partial Controller Support","['English', 'Simplified Chinese', 'French', 'Russian', 'Spanish - Latin America', 'German']",32.0,"Adventure,Casual,Indie,Simulation,Early Access"," Mature Content Description  The developers describe the content like this:  This game contains adult themes and content that may not be suitable for all ages.  These themes include nudity, strong language, alcohol and drug use, sex, and mild violence.  ",14.99
126,80,"Aug 5, 2015",Eleon Game Studios,"Single-player,Multi-player,Co-op,Steam Workshop,Partial Controller Support","['English', 'German', 'French', 'Russian', 'Italian', 'Portuguese - Brazil', 'Simplified Chinese', 'Greek']",,"Adventure,Indie,Simulation,Strategy,Early Access",,19.99
127,59,"Oct 8, 2018","Visual Concepts,Yuke's Co., LTD","Single-player,Multi-player,Co-op,Local Co-op,Shared/Split Screen,Steam Achievements,Full controller support,Steam Cloud","['English', 'French', 'Italian', 'German', 'Spanish - Spain', 'Arabic']",47.0,"Simulation,Sports",,59.99
128,87,"Jan 15, 2016",Capcom,"Single-player,Steam Achievements,Full controller support,Steam Trading Cards,Steam Cloud,Steam Leaderboards","['English', 'French', 'Italian', 'German', 'Spanish - Spain', 'Japanese', 'Traditional Chinese']",59.0,"Action,Adventure,RPG",,29.99
129,77,"Jul 12, 2018",Proxy Studios,"Single-player,Multi-player,Online Multi-Player,Local Multi-Player,Co-op,Online Co-op,Local Co-op,Shared/Split Screen,Cross-Platform Multiplayer,Steam Achievements,Steam Trading Cards,Steam Cloud","['English', 'German', 'Spanish - Spain', 'Russian', 'Simplified Chinese', 'French']",56.0,Strategy,,84.93
130,84,"Jan 19, 2016",Axolot Games,"Single-player,Multi-player,Co-op,Steam Workshop,Steam Cloud","['English', 'French', 'Italian', 'German', 'Spanish - Spain', 'Polish', 'Portuguese - Brazil', 'Simplified Chinese', 'Japanese', 'Korean', 'Russian']",,"Action,Adventure,Indie,Simulation,Early Access",,19.99
131,45,"Mar 26, 2019",Avalanche Publishing,"Single-player,Online Multi-Player,Online Co-op,Steam Achievements,Partial Controller Support,Steam Cloud","['English', 'French', 'German', 'Spanish - Spain', 'Russian', 'Simplified Chinese', 'Japanese', 'Polish', 'Swedish']",50.0,"Action,Adventure",,34.99
132,73,"Feb 17, 2015",CREATIVE ASSEMBLY,"Single-player,Multi-player,Steam Achievements,Steam Trading Cards,Steam Cloud","['English', 'French', 'Italian', 'German', 'Spanish - Spain', 'Czech', 'Polish', 'Russian', 'Turkish']",118.0,Strategy,,44.99
134,93,"Oct 6, 2015",Introversion Software,"Single-player,Online Multi-Player,Steam Achievements,Steam Trading Cards,Steam Workshop,Steam Cloud,Includes level editor","['English', 'French', 'Italian', 'German', 'Czech', 'Finnish', 'Korean', 'Norwegian', 'Polish', 'Portuguese - Brazil', 'Russian', 'Simplified Chinese', 'Spanish - Spain', 'Bulgarian', 'Danish', 'Dutch', 'Greek', 'Hungarian', 'Japanese', 'Portuguese', 'Romanian', 'Swedish', 'Thai', 'Traditional Chinese', 'Turkish', 'Ukrainian']",18.0,"Indie,Simulation,Strategy",,29.99
136,71,"Feb 6, 2018",Strange Loop Games,"Single-player,Multi-player,Online Multi-Player,Co-op,Online Co-op",['English'],,"Indie,Simulation,Early Access",,29.99
137,77,"Nov 9, 2018",Noble Muffins,"Single-player,Steam Achievements,Partial Controller Support","['English', 'Italian', 'German', 'Spanish - Spain', 'Polish', 'Portuguese', 'Russian', 'Simplified Chinese', 'French', 'Turkish', 'Czech', 'Korean', 'Hungarian', 'Japanese']",24.0,"Action,Adventure,Indie,Simulation",,19.99
138,68,"Dec 17, 2018",Ninja Kiwi,"Single-player,Steam Achievements,In-App Purchases",['English'],49.0,Strategy,,9.99
139,97,"Dec 10, 2018",David Szymanski,"Single-player,Online Multi-Player,Steam Achievements,Full controller support,Steam Trading Cards,Steam Cloud",['English'],30.0,"Action,Indie",,20.00
140,96,"Mar 11, 2015",Moon Studios GmbH,"Single-player,Steam Achievements,Full controller support,Steam Trading Cards,Steam Cloud,Stats","['English', 'French', 'Italian', 'German', 'Spanish - Spain', 'Japanese', 'Russian', 'Simplified Chinese', 'Portuguese - Brazil']",50.0,Action,,nan
141,88,"May 15, 2018",Contingent99,"Single-player,Local Co-op,Shared/Split Screen,Steam Achievements,Full controller support,Steam Trading Cards,Steam Cloud","['English', 'Spanish - Spain', 'Japanese', 'Korean', 'Simplified Chinese', 'French', 'German', 'Russian']",19.0,"Action,Adventure,Indie",,15.99
142,74,"Oct 4, 2018",Nexon Korea Corporation,"Multi-player,Online Multi-Player,MMO,Co-op,Online Co-op,Steam Trading Cards,In-App Purchases,Partial Controller Support","['English', 'German', 'Portuguese - Brazil']",,"Action,Adventure,Casual,Free to Play,Massively Multiplayer,RPG,Simulation",,0 To Play
143,81,"Oct 18, 2017","Jackbox Games, Inc","Local Multi-Player,Local Co-op,Steam Achievements,Steam Trading Cards,Partial Controller Support,Steam Cloud",['English'],20.0,"Casual,Indie,Strategy",,24.99
144,95,"Jul 18, 2016",SANDLOT,"Single-player,Multi-player,Co-op,Shared/Split Screen,Steam Achievements,Full controller support,Steam Trading Cards,Steam Cloud","['English', 'Japanese']",51.0,Action,,19.99
146,73,"Nov 10, 2015",nan,,['nan'],,Valve,,49.99
147,83,"Aug 29, 2018",Two Point Studios,"Single-player,Steam Achievements,Steam Trading Cards,Steam Workshop,Steam Cloud","['English', 'French', 'Italian', 'German', 'Spanish - Spain', 'Polish', 'Russian', 'Simplified Chinese', 'Traditional Chinese']",34.0,"Indie,Simulation",,34.99
148,73,"Aug 28, 2018",Crytivo,"Single-player,Steam Achievements,Steam Trading Cards,Steam Cloud","['English', 'French', 'German', 'Spanish - Spain', 'Portuguese - Brazil', 'Russian', 'Korean', 'Simplified Chinese', 'Traditional Chinese', 'Italian']",28.0,"Indie,Simulation,Strategy,Early Access",,29.99
149,85,"Feb 13, 2017",Rebellion,"Single-player,Multi-player,Co-op,Steam Achievements,Full controller support,Steam Trading Cards,Steam Cloud,Steam Leaderboards","['English', 'French', 'Italian', 'German', 'Spanish - Spain', 'Polish', 'Portuguese - Brazil', 'Russian', 'Simplified Chinese', 'Traditional Chinese']",85.0,"Action,Adventure",,59.99
150,88,"Oct 27, 2015",Larian Studios,"Single-player,Multi-player,Co-op,Shared/Split Screen,Cross-Platform Multiplayer,Steam Achievements,Full controller support,Steam Trading Cards,Captions available,Steam Cloud","['English', 'French', 'Italian', 'German', 'Spanish - Spain', 'Russian', 'Polish', 'Czech', 'Simplified Chinese']",54.0,"Adventure,Indie,RPG,Strategy",,39.99
151,82,"Mar 12, 2015",Camshaft Software,Single-player,"['English', 'French', 'German', 'Spanish - Spain', 'Polish']",,"Simulation,Strategy,Early Access",,29.99
153,64,"Aug 29, 2018","Gamepires,Croteam","Single-player,Multi-player,Online Multi-Player,MMO,Online Co-op,Steam Achievements,Steam Trading Cards","['English', 'German', 'Russian', 'Simplified Chinese', 'French', 'Spanish - Spain', 'Portuguese - Brazil', 'Spanish - Latin America', 'Traditional Chinese']",56.0,"Action,Adventure,Indie,Massively Multiplayer,Early Access", Mature Content Description  The developers describe the content like this:  Frequent violence and gore based on user action during gameplay. Full frontal nudity during character creation and gameplay based on user selections.  ,19.99
154,94,"Jun 4, 2019",Pixelatto,"Single-player,Steam Achievements,Full controller support,Steam Cloud","['English', 'Spanish - Spain', 'Simplified Chinese', 'German', 'Japanese']",100.0,"Adventure,Indie"," Mature Content Description  The developers describe the content like this:  This Game may contain content not appropriate for all ages, or may not be appropriate for viewing at work: Frequent Violence or General Mature Content  ",9.98
155,83,"Apr 5, 2016",Owlchemy Labs,"Single-player,Steam Achievements,Steam Trading Cards,SteamVR Collectibles",['English'],11.0,Simulation,,19.99
156,78,"Nov 28, 2016",Ubisoft,"Single-player,Co-op,In-App Purchases,Partial Controller Support","['English', 'French', 'Italian', 'German', 'Spanish - Spain', 'Arabic', 'Czech', 'Dutch', 'Hungarian', 'Japanese', 'Korean', 'Polish', 'Portuguese - Brazil', 'Russian', 'Simplified Chinese', 'Traditional Chinese']",,"Action,Adventure",,59.99
157,86,"Dec 15, 2014",BlankMediaGames,"Multi-player,Cross-Platform Multiplayer,Steam Achievements,In-App Purchases,Steam Cloud","['English', 'Spanish - Spain']",361.0,"Indie,RPG,Strategy",,4.99
158,52,"Dec 14, 2015",KIXEYE,"Multi-player,MMO,Cross-Platform Multiplayer,Steam Achievements","['English', 'French', 'Italian', 'German', 'Spanish - Spain', 'Japanese', 'Korean', 'Portuguese', 'Russian', 'Simplified Chinese', 'Traditional Chinese', 'Turkish']",39.0,"Free to Play,Massively Multiplayer,Strategy",,0 to Play
159,74,"Feb 1, 2019",Polymorph Games,"Single-player,Steam Achievements,Steam Cloud","['English', 'French', 'Italian', 'German', 'Spanish - Spain', 'Russian', 'Czech', 'Dutch', 'Norwegian', 'Portuguese', 'Portuguese - Brazil', 'Simplified Chinese']",,"Indie,Simulation,Strategy,Early Access",,29.99
160,74,"Sep 14, 2018","Eidos-Montréal,Crystal Dynamics,Nixxes software","Single-player,Steam Achievements,Full controller support,Steam Trading Cards,Steam Cloud","['English', 'French', 'Italian', 'German', 'Spanish - Spain', 'Korean', 'Polish', 'Portuguese - Brazil', 'Russian', 'Simplified Chinese', 'Traditional Chinese', 'Arabic']",99.0,"Action,Adventure"," Mature Content Description  The developers describe the content like this:  This Game may contain content not appropriate for all ages, or may not be appropriate for viewing at work: Frequent Violence or Gore, General Mature Content  ",Shadow of the Tomb Raider 0 Trial
161,89,"Jan 29, 2016",Blacklight Interactive,"Single-player,Online Multi-Player,Cross-Platform Multiplayer,Steam Achievements,Steam Workshop,Stats,Includes level editor",['English'],39.0,"Casual,Indie,Sports,Early Access",,5.99
162,88,"May 17, 2011",CD PROJEKT RED,"Single-player,Steam Achievements,Steam Trading Cards,Partial Controller Support,Steam Cloud,Steam Leaderboards","['English', 'German', 'French', 'Spanish - Spain', 'Russian', 'Czech', 'Hungarian', 'Japanese', 'Polish', 'Turkish', 'Traditional Chinese', 'Italian']",52.0,RPG,,19.99
164,94,"Sep 11, 2007",Bethesda Game Studios,"Single-player,Steam Cloud",['English'],,RPG,,14.99
165,74,"Jun 25, 2013","Relic Entertainment,Feral Interactive (Mac),Feral Interactive (Linux","Single-player,Multi-player,Co-op,Steam Achievements,Steam Trading Cards,Steam Workshop,Steam Cloud,Stats","['English', 'Czech', 'French', 'German', 'Italian', 'Polish', 'Russian', 'Spanish - Spain']",452.0,Strategy,,19.99
166,81,"Nov 20, 2012",Daybreak Game Company,"Multi-player,MMO,Steam Trading Cards","['English', 'German', 'French', 'Italian', 'Spanish - Spain']",,"Action,Free to Play,Massively Multiplayer",,0 to Play
167,89,"Oct 4, 2016",Ubisoft - San Francisco,"Single-player,Shared/Split Screen,Steam Achievements,Steam Trading Cards,In-App Purchases,Partial Controller Support,Steam Cloud,Steam Leaderboards","['English', 'German', 'French', 'Italian', 'Spanish - Spain', 'Japanese']",47.0,"Casual,Simulation",,29.99
